[2025-06-26 00:48:40] User: testUser | Event: Event | Description: User logged in
[2025-06-26 00:48:40] User: alice | Event: Event | Description: ADD_TO_CART_FAILED Only 1 left in stock
[2025-06-26 00:48:40] User: alice | Event: Event | Description: ADD_TO_CART
[2025-06-26 00:48:40] User: alice | Event: Event | Description: Successfully canceled payment for cart
[2025-06-26 00:48:40] User: alice | Event: Event | Description: Successfully payed for cart
[2025-06-26 00:48:40] User: username | Event: Event | Description: TokenService
[2025-06-26 00:48:41] User: username | Event: Event | Description: PROCESS_SHIPPING - USER_NOT_FOUND:java.lang.NullPointerException: Cannot invoke "DomainLayer.IUserRepository.findById(Object)" because "<local3>.repo" is null
[2025-06-26 00:48:41] User: username | Event: Event | Description: TokenService
[2025-06-26 00:48:41] User: username | Event: Event | Description: PROCESS_SHIPPING - USER_NOT_FOUND:java.lang.NullPointerException: Cannot invoke "DomainLayer.IUserRepository.findById(Object)" because "<local3>.repo" is null
[2025-06-26 00:48:41] User: username | Event: Event | Description: TokenService
[2025-06-26 00:48:41] User: username | Event: Event | Description: PROCESS_SHIPPING - USER_NOT_FOUND:java.lang.NullPointerException: Cannot invoke "DomainLayer.IUserRepository.findById(Object)" because "<local3>.repo" is null
[2025-06-26 00:48:41] User: username | Event: Event | Description: TokenService
[2025-06-26 00:48:41] User: username | Event: Event | Description: PROCESS_SHIPPING - USER_NOT_FOUND:java.lang.NullPointerException: Cannot invoke "DomainLayer.IUserRepository.findById(Object)" because "<local3>.repo" is null
[2025-06-26 00:48:41] User: username | Event: Event | Description: TokenService
[2025-06-26 00:48:41] User: username | Event: Event | Description: PROCESS_SHIPPING - USER_NOT_FOUND:java.lang.NullPointerException: Cannot invoke "DomainLayer.IUserRepository.findById(Object)" because "<local3>.repo" is null
[2025-06-26 00:48:41] User: username | Event: Event | Description: TokenService
[2025-06-26 00:48:41] User: username | Event: Event | Description: PROCESS_SHIPPING - USER_NOT_FOUND:java.lang.NullPointerException: Cannot invoke "DomainLayer.IUserRepository.findById(Object)" because "<local3>.repo" is null
[2025-06-26 00:48:41] User: alice | Event: Event | Description: ADD_TO_CART_SUCCESS
[2025-06-26 00:50:43] User: username | Event: Event | Description: TokenService
[2025-06-26 00:50:43] User: username | Event: Event | Description: PROCESS_SHIPPING - USER_NOT_FOUND:java.lang.NullPointerException: Cannot invoke "DomainLayer.IUserRepository.findById(Object)" because "this.repo" is null
[2025-06-26 00:50:43] User: username | Event: Event | Description: TokenService
[2025-06-26 00:50:43] User: username | Event: Event | Description: PROCESS_SHIPPING - USER_NOT_FOUND:java.lang.NullPointerException: Cannot invoke "DomainLayer.IUserRepository.findById(Object)" because "this.repo" is null
[2025-06-26 00:50:43] User: username | Event: Event | Description: TokenService
[2025-06-26 00:50:43] User: username | Event: Event | Description: PROCESS_SHIPPING - USER_NOT_FOUND:java.lang.NullPointerException: Cannot invoke "DomainLayer.IUserRepository.findById(Object)" because "this.repo" is null
[2025-06-26 00:50:43] User: username | Event: Event | Description: TokenService
[2025-06-26 00:50:43] User: username | Event: Event | Description: PROCESS_SHIPPING - USER_NOT_FOUND:java.lang.NullPointerException: Cannot invoke "DomainLayer.IUserRepository.findById(Object)" because "this.repo" is null
[2025-06-26 00:50:43] User: username | Event: Event | Description: TokenService
[2025-06-26 00:50:43] User: username | Event: Event | Description: PROCESS_SHIPPING - USER_NOT_FOUND:java.lang.NullPointerException: Cannot invoke "DomainLayer.IUserRepository.findById(Object)" because "this.repo" is null
[2025-06-26 00:50:43] User: username | Event: Event | Description: TokenService
[2025-06-26 00:50:43] User: username | Event: Event | Description: PROCESS_SHIPPING - USER_NOT_FOUND:java.lang.NullPointerException: Cannot invoke "DomainLayer.IUserRepository.findById(Object)" because "this.repo" is null
[2025-06-26 00:56:37] User: username | Event: Event | Description: TokenService
[2025-06-26 00:56:37] User: username | Event: Event | Description: PROCESS_SHIPPING - USER_NOT_FOUND:java.lang.NullPointerException: Cannot invoke "DomainLayer.IUserRepository.findById(Object)" because "this.repo" is null
[2025-06-26 00:56:37] User: username | Event: Event | Description: TokenService
[2025-06-26 00:56:37] User: username | Event: Event | Description: PROCESS_SHIPPING - USER_NOT_FOUND:java.lang.NullPointerException: Cannot invoke "DomainLayer.IUserRepository.findById(Object)" because "this.repo" is null
[2025-06-26 00:56:37] User: username | Event: Event | Description: TokenService
[2025-06-26 00:56:37] User: username | Event: Event | Description: PROCESS_SHIPPING - USER_NOT_FOUND:java.lang.NullPointerException: Cannot invoke "DomainLayer.IUserRepository.findById(Object)" because "this.repo" is null
[2025-06-26 00:56:37] User: username | Event: Event | Description: TokenService
[2025-06-26 00:56:37] User: username | Event: Event | Description: PROCESS_SHIPPING - USER_NOT_FOUND:java.lang.NullPointerException: Cannot invoke "DomainLayer.IUserRepository.findById(Object)" because "this.repo" is null
[2025-06-26 00:56:37] User: username | Event: Event | Description: TokenService
[2025-06-26 00:56:37] User: username | Event: Event | Description: PROCESS_SHIPPING - USER_NOT_FOUND:java.lang.NullPointerException: Cannot invoke "DomainLayer.IUserRepository.findById(Object)" because "this.repo" is null
[2025-06-26 00:56:37] User: username | Event: Event | Description: TokenService
[2025-06-26 00:56:37] User: username | Event: Event | Description: PROCESS_SHIPPING - USER_NOT_FOUND:java.lang.NullPointerException: Cannot invoke "DomainLayer.IUserRepository.findById(Object)" because "this.repo" is null
[2025-06-26 00:56:55] User: username | Event: Event | Description: TokenService
[2025-06-26 00:56:56] User: username | Event: Event | Description: PROCESS_SHIPPING - USER_NOT_FOUND:java.lang.NullPointerException: Cannot invoke "DomainLayer.IUserRepository.findById(Object)" because "this.repo" is null
[2025-06-26 00:56:56] User: username | Event: Event | Description: Shipping successful
[2025-06-26 00:56:56] User: username | Event: Event | Description: TokenService
[2025-06-26 00:56:56] User: username | Event: Event | Description: PROCESS_SHIPPING - USER_NOT_FOUND:java.lang.NullPointerException: Cannot invoke "DomainLayer.IUserRepository.findById(Object)" because "this.repo" is null
[2025-06-26 00:56:56] User: username | Event: Event | Description: Shipping successful
[2025-06-26 00:56:56] User: username | Event: Event | Description: TokenService
[2025-06-26 00:56:56] User: username | Event: Event | Description: PROCESS_SHIPPING - USER_NOT_FOUND:java.lang.NullPointerException: Cannot invoke "DomainLayer.IUserRepository.findById(Object)" because "this.repo" is null
[2025-06-26 00:56:56] User: username | Event: Event | Description: Shipping successful
[2025-06-26 00:56:56] User: username | Event: Event | Description: TokenService
[2025-06-26 00:56:56] User: username | Event: Event | Description: PROCESS_SHIPPING - USER_NOT_FOUND:java.lang.NullPointerException: Cannot invoke "DomainLayer.IUserRepository.findById(Object)" because "this.repo" is null
[2025-06-26 00:56:56] User: username | Event: Event | Description: Shipping successful
[2025-06-26 00:56:56] User: username | Event: Event | Description: TokenService
[2025-06-26 00:56:56] User: username | Event: Event | Description: PROCESS_SHIPPING - USER_NOT_FOUND:java.lang.NullPointerException: Cannot invoke "DomainLayer.IUserRepository.findById(Object)" because "this.repo" is null
[2025-06-26 00:56:56] User: username | Event: Event | Description: Shipping successful
[2025-06-26 00:56:56] User: username | Event: Event | Description: TokenService
[2025-06-26 00:56:56] User: username | Event: Event | Description: PROCESS_SHIPPING - USER_NOT_FOUND:java.lang.NullPointerException: Cannot invoke "DomainLayer.IUserRepository.findById(Object)" because "this.repo" is null
[2025-06-26 00:56:56] User: username | Event: Event | Description: Shipping successful
